,year_avg_velocity
0,53.032505584045516
1,38.68494741888417
2,19.01523984251759
3,26.072372268702576
4,16.306711432494083
5,10.571621192893401
6,17.508067622133655
7,22.042663630159037
8,34.400195625765605
9,28.18174527636774
10,27.994358374718818
11,34.91954925244499
12,18.70491297636339
13,47.022982111638775
14,34.599088321348
15,23.435777422135253
16,22.442141417252163
17,19.845584282011753
18,28.95936662789058
19,30.326263307247604
20,23.55576595127818
21,30.317730365200227
22,18.72981393881861
23,20.148066017766222
24,37.000637207203376
25,18.566344367133247
26,54.89448057670615
27,16.83420138888889
28,19.63641443914165
29,19.18828991558077
30,11.470673366918849
31,10.787437537936121
32,39.04459955567233
33,21.43426944842395
34,29.309322436785067
35,20.633805427185507
36,21.668220928813938
37,18.127830204154165
38,51.4599661356436
39,50.05482284967602
40,13.99222403761363
41,18.372583848638044
42,15.989915014052889
43,45.73196471376198
44,44.8398359958156
45,18.62469414432911
46,51.94719995970922
47,35.82369650869267
48,37.89464801889453
49,16.82832065545699
50,15.072800371113027
51,29.384147631133672
52,25.261258283981952
53,34.11548443668923
54,20.2494888606881
55,14.9751300112514
56,11.56294765138922
57,20.631240255202
58,8.303876727298364
59,57.214441487699055
60,13.46584179357022
61,16.66288993779509
62,13.67232851866471
63,14.727808615076158
64,22.62392264170897
65,19.151778421762362
66,60.269797534372465
67,36.39500163466125
68,24.11684600606317
69,28.1501758142978
70,15.240270727580372
71,16.756463153578775
72,15.412631758309594
73,28.84081479162398
74,20.082389822936772
75,58.8259570815102
76,15.01568007966723
77,36.801250322216056
78,22.273049739142696
79,19.4128370505568
80,18.674683516535193
81,39.942078221940214
82,17.57726265035372
83,48.15158988147957
84,9.496805379300621
85,25.561175884799773
86,16.82884323886069
87,23.811053823093474
88,60.92022833310475
89,17.360941093517976
90,49.81257484810405
91,27.679306899499437
92,47.92591563578185
93,20.896456533949454
94,44.13009943050378
95,32.43241680078566
96,15.47920284281998
97,15.47111393110401
98,25.447994651729886
99,31.154032669024353
100,27.01648660951325
101,24.259665582251294
102,25.020328037629877
103,17.799331105636192
104,27.3362467723315
105,39.13207989739484
106,21.72435436474692
107,22.090871979809723
108,30.448761756582847
109,22.55734233996052
110,21.120829367597292
111,21.225329261947607
112,31.99763382913296
113,14.598964071515853
114,20.105975044022426
115,23.93332605851416
116,15.401909722222221
117,44.68817630946401
118,21.420323956570783
119,22.448131782888897
120,29.307358579856153
121,17.823526579313068
122,22.470291813281857
123,23.746140016920474
124,30.766832346305698
125,49.37705315483941
126,27.617041465729155
127,13.42919568375417
128,28.73363583947196
129,28.821585016740087
130,26.873851950398556
131,32.48070351847537
132,56.09593660254567
133,24.10200005201586
134,6.583870910885505
135,27.121136015038402
136,25.8331152092449
137,20.60067902213762
138,8.680068174729021
139,34.08770665891145
140,15.243572035013319
141,36.21114355819883
142,57.03033460174922
143,20.214407957951632
144,11.559653482797518
145,37.094951089599746
146,37.12132949097575
147,24.48417451001128
148,19.995849553434713
149,20.59111592249217
150,18.85866564703875
151,19.702256066612247
152,53.715473908727205
153,15.260814107345176
154,18.646763078116187
155,18.228472658556463
156,26.527022084743372
157,11.014054603383022
158,47.69491883529086
159,32.3644467357586
160,15.059338386221519
161,40.73439081819193
162,28.72054339396503
163,33.79616831065704
164,14.945543815238423
165,27.18325561678349
166,19.964051820568894
167,44.698797468001466
168,22.504243621567987
169,18.90771635413775
170,13.961752679075014
171,15.404882748383825
172,13.403417704539722
173,57.196992696642674
174,17.669393716931545
175,29.333419257614214
176,37.80428843920472
177,19.575752163632604
178,52.763168464053905
179,17.321566526323675
180,42.569050237544836
181,26.45123204523335
182,30.89394211271558
183,18.069737317665645
184,27.24394331930454
185,24.617727736867355
186,13.270941622971279
187,29.81297067296888
188,30.759322999630417
189,29.856107674139874
190,22.688926774233124
191,21.55286459107891
192,26.05007441435167
193,13.669006035681573
194,14.057313698533559
195,24.237309096024926
196,16.469461048382254
197,15.577573392193532
198,25.32831888042865
199,23.899801474806285
200,21.30288064594129
201,22.640012849742117
202,14.15770410321489
203,16.815778328884274
204,21.092991410979966
205,19.41987450648618
206,23.63300125974084
207,20.085805308798648
208,13.790851487591652
209,22.500096544329217
210,28.82458055026102
211,22.943183279279523
212,25.758222309936592
213,12.62018684606665
214,46.439255535300006
215,15.116689579808234
216,28.636623974244472
217,24.029893547010772
218,33.956639082769314
219,29.44759720459673
220,21.6827534795547
221,20.887662363670938
222,25.309199626339538
223,47.05585595489691
224,28.30962043499718
225,26.974291014523406
226,28.834845567112648
227,20.420558002125524
228,14.398583807517632
229,31.1123603179639
230,20.87363843062606
231,33.54461378171763
232,23.15953891020472
233,15.082235247014406
234,9.651350112803158
235,23.82410181758771
236,15.534743352589874
237,21.657327164651576
238,33.04547597645234
239,31.715075144845756
240,20.576173656482986
241,20.207134786865097
242,31.00594404707907
243,37.995157008378165
244,29.7096223352457
245,14.168664868780267
246,36.733999154423834
247,14.72146919065455
248,22.99361037992853
249,28.9293588034796
250,35.81336144599549
251,10.823432212351946
252,17.908836016195075
253,27.271768917421532
254,36.9585866653778
255,11.775495276367739
256,58.43064607554617
257,10.734223416882992
258,22.143481212084534
259,15.923515511312125
260,18.27003669631192
261,18.70432573674563
262,29.963204579103216
263,30.9976125201867
264,15.671417247085872
265,10.949435568097885
266,13.02928958555029
267,33.571305883314004
268,26.638665033072588
269,24.137180326217592
270,23.482827433474778
271,16.544106383950307
272,21.11553286591695
273,10.672592328755249
274,15.835662544883045
275,10.390774816694867
276,33.775360881979694
277,17.98455124417739
278,30.512908036199182
279,20.90128131055321
280,15.986179319533399
281,17.382795177874964
282,21.835984717905355
283,15.008918131803027
284,20.072713973491258
285,16.051457628313592
286,25.829631119075632
287,63.93241284193457
288,16.98990988045578
289,16.36114053355054
290,15.330832748714302
291,32.3616667100419
292,29.06574249697888
293,28.25928084216949
294,19.86582687730784
295,34.47973729201917
296,11.95902513395375
297,14.725997165307714
298,12.526795156514382
299,28.446224210494936
300,10.691723143119834
301,22.488779733897736
302,53.64822201801436
303,6.822317399887197
304,20.867384947697726
305,21.67320560427352
306,18.106102772910113
307,26.06470538987592
308,18.835862591652567
309,13.800007483949784
310,13.91814853562787
311,18.35934195219966
312,14.508754661375026
313,15.687478880390096
314,35.867914508576455
315,17.418186977362808
316,18.118306718838127
317,13.946462563451776
318,21.444003699529123
319,25.892316182454426
320,15.909583438673197
321,17.250952645875746
322,16.904595436918083
323,29.38036164844769
324,19.898016110423992
325,26.08280860483478
326,18.50741588336495
327,20.58413211329805
328,31.391771509092
329,17.25167754593369
330,56.70283182986497
331,17.445207605507168
332,27.252425708544838
333,49.55787095846057
334,23.836215101522843
335,23.179451759024253
336,20.376958632966723
337,25.71305255922166
338,28.57804749688387
339,18.833865157642137
340,18.406038494077833
341,60.261907578590424
342,30.398539227411966
343,33.96421791588729
344,17.532580195479117
345,18.41318777679254
346,50.983126705404196
347,21.399962105188944
348,67.81320746390078
349,30.7175405064479
350,30.1003905509867
351,32.02398048224452
352,19.048774146926114
353,16.914805937808445
354,15.664064287937636
355,30.344413159193458
356,36.312569994208374
357,11.621726064579809
358,26.25610282712916
359,25.209530007953504
360,41.24277982157768
361,7.401336893683023
362,39.0786249340421
363,19.93358321601364
364,27.46509721113744
365,15.001915881678134
366,16.522851452340664
367,19.272538599830796
368,28.408285744500844
369,18.735412700930627
370,25.92207234442335
371,29.692525047134424
372,15.031511727390622
373,36.70113043615661
374,17.915723293969272
375,22.45751815425832
376,28.19594350213461
377,35.94581702975184
378,19.72415922781336
379,13.093877784827976
380,29.991173479023185
381,10.06195801607445
382,20.2161628047558
383,29.947919029068018
384,29.8644467357586
385,21.916698367597018
386,27.8278385900335
387,31.926865854709753
388,30.130139410596612
389,21.15795967287084
390,20.16556202242486
391,25.25585492129253
392,26.894094149809536
393,18.79536045975962
394,29.498284160788288
395,60.27654530998011
396,29.17697537718556
397,59.58742672510895
398,13.356034968979131
399,36.61439385927806
400,33.44778596433757
401,66.77807756607908
402,8.783554533276932
403,46.6592068658733
404,27.681351129711516
405,34.56608075498526
406,20.836275220119006
407,29.50155059590692
408,31.209453748432985
409,22.024329351693037
410,21.81918147130666
411,18.522636800853128
412,12.683387965047958
413,16.459649578165482
414,14.828578017353676
415,34.84360011445555
416,33.08340086616908
417,62.39299391624421
418,21.93732815143824
419,15.215253930003106
420,30.891003948110548
421,15.950154622395834
422,26.70770914730754
423,14.96859005165853
424,25.28136456570784
425,26.078271499005538
426,10.328934881960143
427,7.170303734157022
428,20.822178263484055
429,30.918991273900446
430,13.456665992198928
431,14.027022590357506
432,25.390155940693244
433,12.972204596728709
434,14.900536299962077
435,19.472804347606814
436,26.729025662718556
437,26.751117523417122
438,31.899477455754504
439,26.946052323205283
440,16.005891321206995
441,34.87014417653694
442,81.71097442058944
443,20.60358502538071
444,54.201960082250466
445,45.56104313419555
446,16.36449996939636
447,18.300116059743814
448,28.559721781584884
449,29.486190253707964
450,18.744192399887197
451,38.61225588175112
452,30.571652334420882
453,7.495286518748843
454,25.07757512419088
455,38.918049269588536
456,19.785655736519804
457,16.7434273970981
458,39.32884716328698
459,25.159223832992666
460,16.93941362470271
461,21.997651097469255
462,8.217176924703892
463,17.147045086012408
464,19.06788665805909
465,16.215290996897913
466,11.11333632966723
467,10.865843556119572
468,17.555066448110548
469,35.43755728285392
470,37.62600685631698
471,29.284312429498026
472,28.01215862999242
473,19.12388959390863
474,22.518809035075833
475,18.350396592537695
476,19.89445279159589
477,26.217441741719597
478,18.607844486656123
479,15.661795446715379
480,22.62674932592815
481,16.22168861212733
482,16.567078221940214
483,20.072733354649163
484,12.506599409057134
485,23.113522348334005
486,42.62853120480025
487,50.39797527831756
488,23.4420636215253
489,20.50626147378318
490,16.18045861103813
491,16.22905907628231
492,17.146745405288584
493,18.230147084743372
494,25.560682345162792
495,31.698787725785326
496,26.269078989991748
497,19.757774701578363
498,34.78948681998643
499,27.699795984912576
500,19.543067893401016
501,45.647752799492935
502,29.691047208025438
503,14.767534728246561
504,31.892910522185538
505,26.961159836822354
506,15.337528192183424
507,67.43129314114935
508,19.948430680448702
509,12.034484245786544
510,16.951656328643438
511,25.037896639871786
512,23.160501694181715
513,17.862529877276994
514,20.646564670827384
515,23.48702197819864
516,13.920718326988156
517,20.59305432659048
518,31.05135187535251
519,22.734294923630664
520,19.572252870614555
521,9.008518892429134
522,13.969497282627405
523,17.60458677822227
524,18.337247939951595
525,22.466433392227266
526,19.280962565895937
527,14.937378824732093
528,12.886045009486097
529,27.950696756929847
530,74.0191016285956
531,20.774870324390324
532,19.203087076788492
533,16.226408711544753
534,30.2546421143542
535,26.67732986217828
536,37.11385849351878
537,19.10029731143751
538,15.796202991483444
539,10.103284084924654
540,26.6107872211523
541,13.334628807106599
542,22.480600941201352
543,28.141994956113898
544,16.402075475444246
545,16.591586089846917
546,15.413772157001011
547,11.840868231810491
548,14.660529143650251
549,15.178625572621991
550,41.12904284757473
551,34.077276876399026
552,15.455160744500846
553,13.33630763536379
554,28.486639875916527
555,65.86177597433178
556,39.28841738800376
557,21.666906805409596
558,34.72620004136483
559,22.837237380146643
560,25.607502626955878
561,32.854954512456814
562,24.851910883198332
563,15.289158112708284
564,18.94661243608693
565,28.773152234657832
566,15.986404096212887
567,13.383815797654101
568,37.46807714162139
569,34.59110120159048
570,23.942164146221096
571,26.512551554568528
572,0.0
573,18.983686678435127
574,7.084624400733221
575,27.207529596198565
576,18.828673593485618
577,15.277790986140166
578,31.135394165761983
579,17.611979519520784
580,44.53474995139219
581,24.22462678964166
582,17.89807647644835
583,14.805633581498217
584,19.326177382966723
585,24.952331861398076
586,18.542814526931753
587,23.677794777600695
588,45.86613742335664
589,24.91555308488823
590,22.3767866251903
591,22.76565584461365
592,16.778621581067355
593,32.81229997044287
594,16.508610197735315
595,33.94294407430908
596,30.19723055474313
597,28.689608858455994
598,58.89045112037551
599,17.721184598747378
600,17.68906997276173
601,25.153663157609916
602,33.36374867843224
603,17.747394279914595
604,15.74350672042511
605,27.3610089297222
606,42.81406688743974
607,16.95067423881277
608,16.010018339549763
609,37.138505388099595
610,31.932698825894274
611,26.439227298364354
612,53.52105841983595
613,56.44982444560938
614,26.83312811423881
615,25.116679962381966
616,59.01676625931122
617,19.402632367456288
618,17.6024834320361
619,16.216172271573605
620,10.188962915961646
621,23.826062817258883
622,19.353211503478004
623,26.876976658648445
624,18.5808739487357
625,18.082456456424822
626,19.677383625097214
627,17.73956039351255
628,18.453277422221312
629,29.766233079526227
630,20.773695690243244
631,23.75191142797067
632,54.74629354288668
633,17.44748716359749
634,33.16815161449521
635,59.5413853042353
636,14.323610190678234
637,33.96916199591089
638,19.335263324873097
639,20.48415135073245
640,20.324597754050835
641,23.649023547659336
642,14.564792620147344
643,22.025764004900438
644,64.45512328172093
645,13.298663987591652
646,15.091881697687535
647,23.728329739729293
648,31.125350835964763
649,15.515655848916747
650,34.45417109627678
651,30.688443445850076
652,15.318371875502603
653,16.573734036019072
654,23.030633632705094
655,45.74814236937306
656,20.11059825916581
657,30.93196991104496
658,15.008929958870635
659,36.481931665961646
660,36.648569252285256
661,29.76541890307328
662,60.11340171955967
663,14.607118480701738
664,25.238754935138182
665,15.545572032379821
666,9.800984015252316
667,54.79923247860706
668,28.629903708348756
669,39.61827676926907
670,17.377349431811922
671,18.362019237124578
672,35.27178956799364
673,20.09220937007037
674,19.617549993059963
675,14.969225888324873
676,31.92971088303998
677,37.486586052754205
678,26.552721788435417
679,49.00148751247554
680,28.023937623378455
681,33.21929639029893
682,17.98545853969275
683,18.424987659572682
684,28.214171261687905
685,24.426111624729007
686,23.546890280304556
687,25.74144450110765
688,19.015276358615726
689,6.63153024534687
690,20.657294310490695
691,22.655527350462833
692,15.937277818089209
693,17.006914862790353
694,11.957121580654258
695,29.49303777084738
696,30.448701001128033
697,52.88733931711953
698,11.340238120417371
699,10.907994923857869
700,39.631815811905966
701,19.765542982933013
702,23.35221473147354
703,27.039644102558064
704,24.514712983985035
705,16.339731408994343
706,25.966155399122417
707,64.67970769014052
708,51.30899200181267
709,67.54614448870096
710,28.2954230999718
711,27.138042004580424
712,10.180872359386084
713,24.533838159138377
714,17.917506080795263
715,22.062541309750422
716,17.137079752036158
717,29.724213902989284
718,18.733286092191246
719,48.46956397420729
720,19.985474390157925
721,16.066005676665416
722,12.568331407008033
723,28.813476011703326
724,27.617272008561308
725,19.907314139170897
726,65.9911280770256
727,34.91470373490404
728,21.053442699520588
729,52.691673085169136
730,25.744097692981253
731,15.694345301043429
732,18.162064627073473
733,24.04772543006204
734,31.21848605651339
735,15.603262908298689
736,20.255628191006096
737,13.829656253476903
738,17.629481281725887
739,11.308917618443317
740,16.49541649815731
741,27.440789357727017
742,14.710696410272194
743,34.88636183375635
744,15.054597141375599
745,21.377925831923292
746,9.369320184715171
747,13.62196536852153
748,30.612376906410557
749,27.883673945995486
750,32.67478760850006
751,15.584868429477647
752,20.45377636224754
753,19.700099082297008
754,21.74934141930388
755,20.986875139248284
756,22.521263423775522
757,28.12556917090505
758,29.85680931594771
759,18.39904112581876
760,19.46167780945547
761,25.371389149140317
762,22.78256530245347
763,20.473708043579858
764,20.847300712899575
765,33.60063710134714
766,46.867647871349874
767,33.30095182914756
768,29.464931421339074
769,20.99424785392404
770,24.764302502765
771,34.63310079902696
772,24.466128732817896
773,18.957608020177886
774,19.198185279015693
775,15.987674809954493
776,20.231857816176568
777,44.44885783187427
778,18.35474167687706
779,7.0527354765933445
780,29.1239975500564
781,29.585494659475465
782,29.43709531075122
783,20.261208854283712
784,17.60016347645234
785,25.497206845528247
786,16.14489396682111
787,23.530075701494642
788,27.259393424148687
789,22.24795142365793
790,13.998343203609702
791,18.14869967921602
792,19.355459937253244
793,42.53531839937661
794,23.005721142247648
795,16.436629741257754
796,26.33404497124015
797,17.018949518348965
798,56.2825586928934
799,17.149680097292723
800,22.268444455012855
801,7.165693740285324
802,14.56309625245862
803,34.02906359969998
804,39.36004249671725
805,17.306974407783418
806,24.59279914421344
807,61.51828433239588
808,23.23639398393023
809,33.29223777826937
810,25.243713452058934
811,18.95475224700945
812,46.03224273354605
813,34.24672386139312
814,8.806604272419628
815,53.96616378586237
816,20.31997104909416
817,26.03879385322618
818,27.052053663465713
819,18.371904488276844
820,25.377273800543858
821,24.807362702225
822,27.361009824766793
823,19.351529008980464
824,37.397096267071944
825,26.051504329847067
826,32.692212616328256
827,21.87019370520646
828,14.011486498837543
829,14.424086115149139
830,48.58077397053348
831,22.566529546695715
832,22.52808071164445
833,16.717422734931304
834,27.7653778342964
835,22.53345555339368
836,30.001161548423013
837,11.642904805518514
838,22.42069881673728
839,42.00501097600069
840,21.58090344647936
841,24.47878197822205
842,25.319239543779247
843,13.887221076565144
844,19.681187870135364
845,21.669788001286935
846,28.823998607758135
847,71.75625484701072
848,17.261026493251087
849,14.296812355484724
850,26.063090454032714
851,18.866649922447827
852,25.289752897810143
853,20.63667077905232
854,12.813557323062078
855,13.812770940325587
856,25.66844095056903
857,20.89303086695534
858,29.18766744218838
859,45.97325773717856
860,37.1626390563655
861,45.62959342909209
862,39.17464583429723
863,28.45188786333991
864,13.99162351432925
865,38.87103260726627
866,17.041580742385786
867,16.14139843901469
868,17.691025563437456
869,21.524611303648975
870,13.44098806623275
871,18.36384169422027
872,25.097519880489514
873,18.70246845036661
874,22.760785377704686
875,18.486823971098048
876,16.889946431409015
877,18.438591407909275
878,32.240244289340104
879,23.046579902076612
880,19.441887435439746
881,21.147234667645158
882,19.52214644981251
883,26.32276819253869
884,26.662641027184844
885,14.300197405527355
886,34.68057008281779
887,27.354727459437957
888,31.078688525239155
889,25.419406454104593
890,39.5635015807176
891,18.49431864420573
892,29.62139474747212
893,42.10183417185242
894,21.13208918778559
895,21.035292395749337
896,13.51080663071066
897,20.307852003309463
898,18.08387838106537
899,14.249655952173912
900,19.711726929330585
901,27.90151337668241
902,12.819092390702663
903,17.246426431190073
904,14.57415572466046
905,22.64923285039481
906,61.42187460411489
907,28.299330232107096
908,29.14516631426007
909,18.21476663846588
910,14.962812407569434
911,30.79061470096285
912,25.170348200230563
913,48.36310360086078
914,20.242879227467736
915,14.13095521362098
916,34.723681170726586
917,13.512596504740706
918,29.28293919872579
919,18.492077409515122
920,75.35647123436839
921,14.705166921599464
922,18.24635968151835
923,21.800849432603695
924,30.111282000081793
925,21.444374803090188
926,14.811928443026556
927,27.018844281759762
928,16.419929127873367
929,23.38848086904148
930,21.448888241874922
931,45.92893793457858
932,32.17050902425268
933,15.559233196966405
934,55.64774706776507
935,19.683496809785673
936,38.45537223321062
937,29.991062162155092
938,35.02410021167116
939,14.093597984421542
940,25.375099143401016
941,19.332830116026695
942,14.713449132825719
943,34.403418104727926
944,24.0549937429498
945,16.980514917949197
946,31.168947752357134
947,13.859445501974056
948,20.136656135606415
949,20.776645993890565
950,55.3781768489005
951,13.898311470836418
952,31.225454370248002
953,23.69569190423904
954,21.508901640176102
955,35.22433524177495
956,22.421883812746756
957,11.417812323745064
958,10.274138113367174
959,30.94143618665976
